month,review_count
2016-04,9
2016-05,36
2016-06,34
2016-07,31
2016-08,22
2016-09,29
2016-10,40
2016-11,22
2016-12,24
2017-01,34
2017-02,30
2017-03,30
2017-04,15
2017-05,21
2017-06,39
2017-07,17
2017-08,21
2017-09,118
2017-10,77
2017-11,94
2017-12,71
2018-01,87
2018-02,67
2018-03,79
2018-04,62
2018-05,66
2018-06,29
2018-07,25
2018-08,51
2018-09,74
2018-10,84
2018-11,68
2018-12,70
2019-01,78
2019-02,106
2019-03,95
2019-04,83
2019-05,87
2019-06,80
2019-07,98
2019-08,99
2019-09,101
2019-10,87
2019-11,70
2019-12,68
2020-01,83
2020-02,65
2020-03,69
2020-04,57
2020-05,72
2020-06,62
2020-07,48
2020-08,57
2020-09,53
2020-10,64
2020-11,38
2020-12,85
2021-01,87
2021-02,71
2021-03,85
2021-04,112
2021-05,98
2021-06,134
2021-07,125
2021-08,122
2021-09,138
2021-10,169
2021-11,175
2021-12,116
2022-01,195
2022-02,98
2022-03,88
2022-04,52
2022-05,80
2022-06,66
2022-07,67
2022-08,81
2022-09,195
2022-10,201
2022-11,185
2022-12,168
2023-01,199
2023-02,192
2023-03,195
2023-04,162
2023-05,162
2023-06,154
2023-07,149
2023-08,181
2023-09,221
2023-10,208
2023-11,198
2023-12,258
2024-01,163
2024-02,169
2024-03,173
2024-04,220
2024-05,211
2024-06,207
2024-07,193
2024-08,265
2024-09,328
2024-10,236
2024-11,159
2024-12,166
2025-01,206
2025-02,190
2025-03,292
2025-04,229
2025-05,299
2025-06,503
2025-07,654
2025-08,673
2025-09,563
2025-10,540
2025-11,455
2025-12,532
2026-01,533
2026-02,1745
2026-03,3610
2026-04,4484
2026-05,2942
2026-06,2869
2026-07,3030
2026-08,1465
